,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
654,7918,2018,Hyderabad,SRH,SRH,1,KXIP,0,KXIP,398.85714289999993,319.8769841,244.21428569999998,268.8730159,field,normal,SRH,13,0,1,0,1,0.11216429699842022,0.11058451816745657
655,7919,2018,Delhi,DD,DD,1,KKR,0,KKR,272.3392857,275.0734127,256.15625,259.9321925,field,normal,DD,55,0,1,0,1,0.09636650868878358,0.1216429699842022
656,7920,2018,Pune,RPS,CSK,1,MI,0,MI,,,265.6601307,304.02521010000004,field,normal,MI,0,0,0,0,2,0.12480252764612955,0.14533965244865718
657,7921,2018,Jaipur,RR,SRH,1,RR,0,SRH,398.85714289999993,319.8769841,,,bat,normal,SRH,11,1,1,1,0,0.11216429699842022,0.0995260663507109
658,7922,2018,Bengaluru,RCB,RCB,1,KKR,0,KKR,399.46153849999996,309.8255495,256.15625,259.9321925,field,normal,KKR,0,0,0,0,1,0.11216429699842022,0.1216429699842022
659,7923,2018,Pune,RPS,CSK,1,DD,0,DD,,,272.3392857,275.0734127,field,normal,CSK,13,0,1,0,2,0.12480252764612955,0.09636650868878358
660,7924,2018,Bengaluru,RCB,RCB,1,MI,0,MI,399.46153849999996,309.8255495,265.6601307,304.02521010000004,field,normal,RCB,14,0,1,0,1,0.11216429699842022,0.14533965244865718
661,7925,2018,Delhi,DD,DD,1,RR,0,RR,272.3392857,275.0734127,,,field,normal,DD,4,0,1,0,1,0.09636650868878358,0.0995260663507109
662,7926,2018,Kolkata,KKR,CSK,1,KKR,0,KKR,,,256.15625,259.9321925,field,normal,KKR,0,0,0,0,0,0.12480252764612955,0.1216429699842022
663,7927,2018,Indore,Indore,KXIP,1,MI,0,MI,244.21428569999998,268.8730159,265.6601307,304.02521010000004,field,normal,MI,0,0,0,0,2,0.11058451816745657,0.14533965244865718
664,7928,2018,Pune,RPS,RCB,1,CSK,0,CSK,399.46153849999996,309.8255495,,,field,normal,CSK,0,0,0,0,2,0.11216429699842022,0.12480252764612955
665,7929,2018,Hyderabad,SRH,DD,1,SRH,0,DD,272.3392857,275.0734127,398.85714289999993,319.8769841,bat,normal,SRH,0,1,0,1,0,0.09636650868878358,0.11216429699842022
666,7930,2018,Mumbai,MI,MI,1,KKR,0,KKR,265.6601307,304.02521010000004,256.15625,259.9321925,field,normal,MI,13,0,1,0,1,0.14533965244865718,0.1216429699842022
667,7931,2018,Indore,Indore,RR,1,KXIP,0,KXIP,,,244.21428569999998,268.8730159,field,normal,KXIP,0,0,0,0,2,0.0995260663507109,0.11058451816745657
668,7932,2018,Hyderabad,SRH,SRH,1,RCB,0,RCB,398.85714289999993,319.8769841,399.46153849999996,309.8255495,field,normal,SRH,5,0,1,0,1,0.11216429699842022,0.11216429699842022
669,7933,2018,Jaipur,RR,RR,1,KXIP,0,RR,,,244.21428569999998,268.8730159,bat,normal,RR,15,1,1,1,1,0.0995260663507109,0.11058451816745657
670,7934,2018,Kolkata,KKR,MI,1,KKR,0,KKR,265.6601307,304.02521010000004,256.15625,259.9321925,field,normal,MI,102,0,1,0,0,0.14533965244865718,0.1216429699842022
671,7935,2018,Delhi,DD,DD,1,SRH,0,DD,272.3392857,275.0734127,398.85714289999993,319.8769841,bat,normal,SRH,0,1,0,1,1,0.09636650868878358,0.11216429699842022
672,7936,2018,Jaipur,RR,CSK,1,RR,0,CSK,,,,,bat,normal,RR,0,1,0,1,0,0.12480252764612955,0.0995260663507109
673,7937,2018,Indore,Indore,KKR,1,KXIP,0,KXIP,256.15625,259.9321925,244.21428569999998,268.8730159,field,normal,KKR,31,0,1,0,2,0.1216429699842022,0.11058451816745657
674,7938,2018,Delhi,DD,DD,1,RCB,0,RCB,272.3392857,275.0734127,399.46153849999996,309.8255495,field,normal,RCB,0,0,0,0,1,0.09636650868878358,0.11216429699842022
675,7939,2018,Pune,RPS,SRH,1,CSK,0,CSK,398.85714289999993,319.8769841,,,field,normal,CSK,0,0,0,0,2,0.11216429699842022,0.12480252764612955
676,7940,2018,Mumbai,MI,MI,1,RR,0,RR,265.6601307,304.02521010000004,,,field,normal,RR,0,0,0,0,1,0.14533965244865718,0.0995260663507109
677,7941,2018,Indore,Indore,KXIP,1,RCB,0,RCB,244.21428569999998,268.8730159,399.46153849999996,309.8255495,field,normal,RCB,0,0,0,0,2,0.11058451816745657,0.11216429699842022
678,7942,2018,Kolkata,KKR,RR,1,KKR,0,KKR,,,256.15625,259.9321925,field,normal,KKR,0,0,0,0,0,0.0995260663507109,0.1216429699842022
679,7943,2018,Mumbai,MI,MI,1,KXIP,0,KXIP,265.6601307,304.02521010000004,244.21428569999998,268.8730159,field,normal,MI,3,0,1,0,1,0.14533965244865718,0.11058451816745657
680,7944,2018,Bengaluru,RCB,RCB,1,SRH,0,SRH,399.46153849999996,309.8255495,398.85714289999993,319.8769841,field,normal,RCB,14,0,1,0,1,0.11216429699842022,0.11216429699842022
681,7945,2018,Delhi,DD,DD,1,CSK,0,CSK,272.3392857,275.0734127,,,field,normal,DD,34,0,1,0,1,0.09636650868878358,0.12480252764612955
682,7946,2018,Jaipur,RR,RR,1,RCB,0,RR,,,399.46153849999996,309.8255495,bat,normal,RR,30,1,1,1,1,0.0995260663507109,0.11216429699842022
683,7947,2018,Hyderabad,SRH,SRH,1,KKR,0,SRH,398.85714289999993,319.8769841,256.15625,259.9321925,bat,normal,KKR,0,1,0,1,1,0.11216429699842022,0.1216429699842022
684,7948,2018,Delhi,DD,DD,1,MI,0,DD,272.3392857,275.0734127,265.6601307,304.02521010000004,bat,normal,DD,11,1,1,1,1,0.09636650868878358,0.14533965244865718
685,7949,2018,Pune,RPS,KXIP,1,CSK,0,CSK,244.21428569999998,268.8730159,,,field,normal,CSK,0,0,0,0,2,0.11058451816745657,0.12480252764612955
686,7950,2018,Mumbai,MI,SRH,1,CSK,0,CSK,398.85714289999993,319.8769841,,,field,normal,CSK,0,0,0,0,2,0.11216429699842022,0.12480252764612955
687,7951,2018,Kolkata,KKR,KKR,1,RR,0,RR,256.15625,259.9321925,,,field,normal,KKR,25,0,1,0,1,0.1216429699842022,0.0995260663507109
688,7952,2018,Kolkata,KKR,SRH,1,KKR,0,KKR,398.85714289999993,319.8769841,256.15625,259.9321925,field,normal,SRH,14,0,1,0,0,0.11216429699842022,0.1216429699842022
689,7953,2018,Mumbai,MI,SRH,1,CSK,0,CSK,398.85714289999993,319.8769841,,,field,normal,CSK,0,0,0,0,2,0.11216429699842022,0.12480252764612955
690,11137,2019,Chennai,CSK,RCB,1,CSK,0,CSK,337.44047620000003,299.8255952,275.30113639999996,322.2376736,field,normal,CSK,0,0,0,0,0,0.1111111111111111,0.12987012987012986
691,11138,2019,Kolkata,KKR,SRH,1,KKR,0,KKR,276.73529410000003,229.8008403,268.73660710000007,246.50416669999998,field,normal,KKR,0,0,0,0,0,0.11688311688311688,0.1240981240981241
692,11139,2019,Mumbai,MI,DD,1,MI,0,MI,317.25,278.9384921,334.6607143,296.8314626,field,normal,DD,37,0,1,0,0,0.09523809523809523,0.1414141414141414
693,11140,2019,Jaipur,RR,KXIP,1,RR,0,RR,313.60476189999997,310.1144841,307.76,261.4831481,field,normal,KXIP,14,0,1,0,0,0.10966810966810966,0.101010101010101
694,11141,2019,Delhi,DD,DD,1,CSK,0,DD,317.25,278.9384921,275.30113639999996,322.2376736,bat,normal,CSK,0,1,0,1,1,0.09523809523809523,0.12987012987012986
695,11142,2019,Kolkata,KKR,KKR,1,KXIP,0,KXIP,268.73660710000007,246.50416669999998,313.60476189999997,310.1144841,field,normal,KKR,28,0,1,0,1,0.1240981240981241,0.10966810966810966
696,11143,2019,Bengaluru,RCB,MI,1,RCB,0,RCB,334.6607143,296.8314626,337.44047620000003,299.8255952,field,normal,MI,6,0,1,0,0,0.1414141414141414,0.1111111111111111
697,11144,2019,Hyderabad,SRH,RR,1,SRH,0,RR,307.76,261.4831481,276.73529410000003,229.8008403,bat,normal,SRH,0,1,0,1,0,0.101010101010101,0.11688311688311688
698,11145,2019,Mohali,KXIP,MI,1,KXIP,0,KXIP,334.6607143,296.8314626,313.60476189999997,310.1144841,field,normal,KXIP,0,0,0,0,0,0.1414141414141414,0.10966810966810966
699,11146,2019,Delhi,DD,KKR,1,DD,0,DD,268.73660710000007,246.50416669999998,317.25,278.9384921,field,tie,DD,0,0,0,0,0,0.1240981240981241,0.09523809523809523
700,11147,2019,Hyderabad,SRH,SRH,1,RCB,0,RCB,276.73529410000003,229.8008403,337.44047620000003,299.8255952,field,normal,SRH,118,0,1,0,1,0.11688311688311688,0.1111111111111111
701,11148,2019,Chennai,CSK,CSK,1,RR,0,RR,275.30113639999996,322.2376736,307.76,261.4831481,field,normal,CSK,8,0,1,0,1,0.12987012987012986,0.101010101010101
702,11149,2019,Mohali,KXIP,KXIP,1,DD,0,DD,313.60476189999997,310.1144841,317.25,278.9384921,field,normal,KXIP,14,0,1,0,1,0.10966810966810966,0.09523809523809523
