,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
109,109,169,2009,Durban,Durban,CSK,1,KXIP,0,CSK,260.9975198,260.9975198,233.5653872,233.5653872,bat,normal,CSK,24,1,1,1,2,0.15454545454545454,0.15454545454545454
110,110,170,2009,Centurion,Centurion,MI,1,DD,0,DD,336.7994228,336.7994228,305.1106061000001,305.1106061000001,field,normal,DD,0,0,0,0,2,0.10810810810810811,0.15315315315315314
111,111,171,2009,Centurion,Centurion,RCB,1,SRH,0,RCB,281.7181509,281.7181509,251.8548469,251.8548469,bat,normal,RCB,12,1,1,1,2,0.10714285714285714,0.08035714285714286
112,112,172,2009,Centurion,Centurion,DD,1,SRH,0,SRH,305.1106061000001,305.1106061000001,251.8548469,251.8548469,field,normal,SRH,0,0,0,0,2,0.1504424778761062,0.08849557522123894
113,113,173,2009,Johannesburg,Johannesburg,CSK,1,RCB,0,RCB,260.9975198,260.9975198,281.7181509,281.7181509,field,normal,RCB,0,0,0,0,2,0.14912280701754385,0.11403508771929824
114,114,174,2009,Johannesburg,Johannesburg,SRH,1,RCB,0,RCB,251.8548469,251.8548469,281.7181509,281.7181509,field,normal,SRH,6,0,1,0,2,0.09565217391304348,0.11304347826086956
115,115,175,2010,Mumbai,MI,KKR,1,SRH,0,SRH,303.1287046,303.1287046,234.5125,234.5125,field,normal,KKR,11,0,1,0,2,0.08620689655172414,0.09482758620689655
116,116,176,2010,Mumbai,MI,MI,1,RR,0,MI,331.6517094,331.6517094,331.6461538000001,331.6461538000001,bat,normal,MI,4,1,1,1,1,0.1111111111111111,0.1623931623931624
117,117,177,2010,Chandigarh,KXIP,KXIP,1,DD,0,DD,282.9642857,282.9642857,296.6,296.6,field,normal,DD,0,0,0,0,1,0.1440677966101695,0.15254237288135594
118,118,178,2010,Kolkata,KKR,RCB,1,KKR,0,KKR,227.4338542,227.4338542,303.1287046,303.1287046,field,normal,KKR,0,0,0,0,0,0.1092436974789916,0.09243697478991597
